id,age,location,skin_type,channels_engaged,purchase_history
022e04f1-acb0-4c05-b6a7-46c0e6da84ee,45,Luisstad,Dry,"{Email,Facebook,Google Ads SEO}","{Face Cleanser,Smartphone}"
02314daa-024d-4963-a6f2-94ce3ba26260,48,West Troyborough,Oily,"{Email,Google Ads SEO}",{Hair Serum}
0237a0e1-6af4-4755-a203-6b740a98b3c6,44,Juliechester,Combination,"{Email,Facebook}","{Tablet,Bluetooth Speaker}"
023c6409-b4ce-49cc-91e2-e4c2593b7fec,49,Shanechester,Normal,"{Google Ads SEO,Facebook,Email}","{Wireless Earbuds,CRM Software}"
0240eab7-9174-4ee0-9a35-1eb340815be9,55,North Joycefurt,Sensitive,{Email},{Credit Card}
0246a138-cce0-40d8-9626-5527833b4266,28,New Alexander,Sensitive,"{Facebook,Google Ads SEO}","{Analytics Dashboard,Moisturizer}"
0248c59a-2653-4275-9abb-93f7e579679e,28,Johnside,Normal,"{Email,Google Ads SEO}","{Smartphone,Bluetooth Speaker,Savings Account}"
02494c6a-7c94-463f-a9c7-c23719fa0138,49,New Meghanborough,Dry,"{Google Ads SEO,Facebook}",{Analytics Dashboard}
0253afde-1169-4e0c-a13a-8cac3e915908,23,North Ashley,Dry,{Facebook},"{Loan Product,Project Management Tool}"
02558260-bc43-4661-9332-cc0635774448,50,West Keith,Normal,"{Google Ads SEO,Email}","{Credit Card,Loan Product,Wireless Earbuds}"
02567a0e-63df-452c-84f7-9262a249496c,45,Meganburgh,Oily,"{Email,Facebook}","{Smartwatch,Project Management Tool,CRM Software}"
025e16a7-0c82-4d4c-bb35-3e3dbf580fe1,22,Lake Kellychester,Dry,"{Facebook,Google Ads SEO,Email}","{Lip Balm,Analytics Dashboard}"
0269b687-7234-4391-8133-07a214a40fcd,28,Rachelside,Normal,{Google Ads SEO},{Sunscreen}
027079d0-076f-4289-9b1e-48ee778efb65,25,Lake Jimmyshire,Oily,{Google Ads SEO},"{Bluetooth Speaker,Tablet}"
0272f52b-24cd-4c63-86a7-4db0d1374914,29,Franciston,Combination,"{Email,Facebook}",{Customer Support Platform}
02799485-b32e-4e3f-a136-159a98500ae1,21,Samanthaton,Normal,"{Facebook,Email}","{Credit Card,Hair Serum,Bluetooth Speaker}"
027ab47c-d362-4468-9ea8-3253eafbac3c,47,South Hunterburgh,Normal,"{Facebook,Google Ads SEO}",{Tablet}
02987401-4cf2-4fa0-b173-323afa6cd24d,28,Rayberg,Normal,"{Email,Google Ads SEO}",{Loan Product}
029cb367-928b-4a04-b454-44f13b50f27a,48,Hansonview,Normal,{Google Ads SEO},"{Insurance Plan,Investment Platform}"
029d5f9e-d6f2-40fe-a3c6-a7746f5b8083,26,Taylormouth,Oily,{Facebook},"{Insurance Plan,Moisturizer,Lip Balm}"
029e407b-2f19-4056-b937-c511911c0628,41,Tiffanyhaven,Normal,"{Google Ads SEO,Facebook,Email}","{Savings Account,Analytics Dashboard}"
02a82fec-9660-4bde-bdd5-e93e097ae378,59,Kelseyside,Normal,"{Facebook,Google Ads SEO,Email}","{Marketing Automation,CRM Software,Customer Support Platform}"
02b3122b-e3a4-46a2-9d6e-1f880e7a09c6,24,East Ashleytown,Dry,"{Facebook,Email}","{Analytics Dashboard,Tablet}"
02b353a8-da3a-4496-b1a8-4d910cb9883e,36,Frankview,Normal,{Facebook},{Face Cleanser}
02ba3735-a8e2-4cb1-84fe-3dae409ad0e1,58,East Nicolefort,Combination,{Google Ads SEO},"{Sunscreen,Face Cleanser,Project Management Tool}"
02bc17e7-a347-488c-a8b7-449d670e151c,60,Victormouth,Combination,{Facebook},"{Credit Card,Wireless Earbuds,Analytics Dashboard}"
02c914da-a3be-4060-af8c-c71c8295ff5e,24,Millerberg,Combination,"{Facebook,Google Ads SEO,Email}",{Wireless Earbuds}
02d86d9c-84ad-4269-a028-17509161b4dc,33,North Rebeccatown,Combination,"{Facebook,Email}",{Credit Card}
02daed6a-01a7-4f49-ad58-f472f22eaeed,25,Lake Amymouth,Dry,{Facebook},"{Smartwatch,Project Management Tool,Wireless Earbuds}"
02dafb51-faf5-4d3a-bcb3-6c85df75ed41,30,Wardchester,Oily,"{Email,Google Ads SEO,Facebook}",{Wireless Earbuds}
02decfbc-48ba-4e1d-b9aa-1a8a8c6c308c,35,Port Felicia,Dry,"{Email,Facebook,Google Ads SEO}","{Marketing Automation,Smartwatch,Savings Account}"
02ef0c2e-fe1c-42b9-81af-0b27f1bbe130,38,New Adamborough,Normal,{Email},"{Smartwatch,Face Cleanser,Savings Account}"
02f1598e-36ac-4674-aa7e-cb18c246888d,24,Jennifermouth,Combination,"{Facebook,Google Ads SEO}","{Wireless Earbuds,Smartphone,Savings Account}"
02f5908d-c4fe-4159-b4b5-05725ad4c9ae,58,New Michaelborough,Oily,"{Facebook,Google Ads SEO}",{Marketing Automation}
02fc1f16-7f7d-40e2-a908-0b08d53a323b,22,Port Travis,Oily,"{Facebook,Email}",{Hair Serum}
02fc2b9a-1830-457a-a139-4d7ebb442337,24,Port Marcoborough,Sensitive,"{Facebook,Google Ads SEO}","{Customer Support Platform,Marketing Automation}"
03016f0e-c1b2-4512-b7cf-6b92a596aa7a,52,West Edward,Oily,"{Facebook,Google Ads SEO,Email}","{Tablet,Smartwatch,Customer Support Platform}"
030a2475-58b9-4834-8f4b-c338611cb916,18,Henryborough,Oily,"{Google Ads SEO,Facebook}","{Customer Support Platform,Credit Card}"
03154258-84b1-43f5-8676-84c881c8083a,45,South Marissatown,Normal,{Google Ads SEO},"{Moisturizer,Project Management Tool,Hair Serum}"
03167c7d-bb8c-4445-857c-a85ff1feaef1,43,Port Erica,Combination,"{Facebook,Email,Google Ads SEO}",{Loan Product}
031b18af-c4f2-45f1-90c3-c5c4ccfc97ea,30,East Kennethburgh,Combination,"{Facebook,Email}",{Customer Support Platform}
031d7b17-5e93-45ef-bd55-8f6d479a417e,19,Katelynmouth,Normal,{Email},{Wireless Earbuds}
0327a263-7a3c-49dd-8ab3-38de66be44c7,32,Jacobstad,Normal,"{Google Ads SEO,Facebook}",{Bluetooth Speaker}
03290301-79c8-4806-8df9-29f57bd446ea,33,South Kimberlyfurt,Sensitive,{Email},{Face Cleanser}
032d43df-b5e3-43cd-9390-ea871f6d1e89,58,North Markville,Sensitive,"{Facebook,Email}","{Investment Platform,Face Cleanser,Hair Serum}"
0331a92a-afd4-4d5c-bec1-67d063d392ae,57,Lake Coreyborough,Combination,"{Facebook,Email,Google Ads SEO}","{Marketing Automation,Smartphone}"
03323768-e726-41cc-8a5e-6b81647416f3,57,Christopherside,Combination,"{Google Ads SEO,Facebook,Email}","{Smartphone,Bluetooth Speaker,Investment Platform}"
034010d5-5d3d-4031-83ff-cb01c204b1f5,48,Briggshaven,Combination,"{Facebook,Google Ads SEO,Email}","{Lip Balm,Analytics Dashboard}"
034fcae7-8071-4733-a986-c2d6e2563ef9,31,Port Kevin,Combination,"{Email,Google Ads SEO,Facebook}",{Analytics Dashboard}
0356379b-dc56-4815-91b9-306b4e30c810,55,Lorettastad,Combination,"{Facebook,Email}",{Hair Serum}
0359c0e4-bf7b-4373-8dff-313f07fbb5d1,53,Lisaton,Sensitive,"{Email,Google Ads SEO,Facebook}","{Smartphone,Loan Product,Savings Account}"
0362c9b8-8d18-4bd0-80a4-69fa9e79b18b,35,South Sean,Normal,{Google Ads SEO},{Project Management Tool}
03668994-4d9b-4a6d-b706-0d37bfbccb57,19,North Tara,Normal,"{Email,Facebook,Google Ads SEO}",{Smartphone}
0366a4fd-6935-4986-9596-38051cc956ed,22,West Kristin,Sensitive,"{Facebook,Google Ads SEO,Email}",{Wireless Earbuds}
03761bae-8120-434e-a849-ac82b55d3f94,21,Barbaraborough,Normal,"{Google Ads SEO,Email}","{Smartphone,Sunscreen,Savings Account}"
037bfc39-9b00-4048-a6a2-4afaedfd3a9d,46,Port Lawrence,Normal,"{Google Ads SEO,Facebook}","{CRM Software,Analytics Dashboard}"
037ebe37-4b36-415d-b5d7-4d16bf2ebe80,38,New Natashachester,Normal,{Facebook},"{Bluetooth Speaker,Smartwatch}"
03915f9a-3d43-493b-a14a-21a4f012def5,44,Lake Garychester,Dry,"{Facebook,Google Ads SEO}",{Hair Serum}
03936dc2-c912-4dbe-8d14-39dd735266b4,59,Matthewborough,Oily,"{Email,Google Ads SEO}","{Credit Card,Loan Product,Sunscreen}"
03ad551a-4375-4724-9cfa-d2fb3bffe5c9,30,Pamelaberg,Dry,"{Facebook,Google Ads SEO}","{Marketing Automation,Wireless Earbuds}"
03b3ac61-0c3c-4957-9f34-4c4a94c52436,51,Thomasland,Sensitive,"{Google Ads SEO,Facebook,Email}",{Moisturizer}
03b82fa6-b8f4-4846-be1d-8ec96e777396,23,West Bryanside,Oily,{Facebook},{Sunscreen}
03bc44da-c853-48d1-98d1-50d9a5b6400e,21,Lake Glenn,Sensitive,"{Google Ads SEO,Email}","{Smartwatch,Tablet}"
03c2436b-73dd-4370-af87-a2dd9c725471,49,Kennethport,Sensitive,{Google Ads SEO},"{Loan Product,Sunscreen,Tablet}"
03c6320f-0a1b-4297-aecd-f9f8f96f6119,37,Chandlermouth,Normal,"{Google Ads SEO,Email,Facebook}",{Wireless Earbuds}
03c742c0-5b5c-46dd-8f28-0841823ac8fb,60,West Amanda,Normal,"{Google Ads SEO,Email,Facebook}","{Wireless Earbuds,Marketing Automation}"
03c894b2-d79c-43cd-9e13-14788bc0b53e,57,Matthewfort,Sensitive,"{Email,Google Ads SEO,Facebook}",{Wireless Earbuds}
03c9055e-1cda-4c01-817e-6c5a4cb88446,52,South Thomasport,Combination,{Email},"{Hair Serum,Bluetooth Speaker}"
03ddd20d-3491-46f6-a49f-1b4faa6c83e5,59,Johnfurt,Normal,"{Facebook,Email,Google Ads SEO}",{Credit Card}
03e70de1-bf33-4caa-8dde-fbaa7c1f084a,18,Lunaberg,Sensitive,"{Facebook,Email,Google Ads SEO}",{Customer Support Platform}
03fe2ae5-fccb-4849-931d-a56fcd54db8e,28,West Shelbyborough,Combination,"{Email,Facebook,Google Ads SEO}",{Face Cleanser}
040e684d-2f25-4be8-9280-c8ec84dff16b,19,West Angela,Normal,"{Google Ads SEO,Facebook}",{Credit Card}
041b5064-b141-498c-b048-4c3d8a3d2b4f,33,Carloshaven,Oily,"{Facebook,Google Ads SEO,Email}","{Insurance Plan,Analytics Dashboard}"
04213b22-8f3c-43a8-9a11-68143018aace,42,Tamaratown,Oily,"{Facebook,Email,Google Ads SEO}","{Savings Account,Lip Balm}"
04258ef2-7366-4237-b3bd-51c54c72e01f,49,Joshuaton,Normal,"{Google Ads SEO,Facebook}","{Bluetooth Speaker,Hair Serum,Smartwatch}"
04263a51-ac1a-4388-9300-9c6ac5191c13,18,East Timothyberg,Sensitive,"{Google Ads SEO,Email,Facebook}",{Project Management Tool}
0429de9e-3629-4b48-be8a-09074c409ea8,43,Vazqueztown,Oily,"{Facebook,Email}","{Analytics Dashboard,Project Management Tool}"
04303276-d6af-47d1-aa75-a90c27d55564,37,Lake Devinberg,Combination,"{Facebook,Google Ads SEO,Email}","{Credit Card,Face Cleanser}"
0431c53e-2555-4704-ae2e-203316fed570,44,West Susan,Combination,"{Google Ads SEO,Facebook}","{Tablet,Hair Serum,Marketing Automation}"
0436284c-9d43-40b7-8f44-2ac595a3b30a,54,Port Jose,Combination,"{Email,Facebook}",{Customer Support Platform}
04377764-5917-482e-89af-f247add159c8,44,Lisaland,Combination,"{Google Ads SEO,Facebook,Email}","{Loan Product,Smartphone,Wireless Earbuds}"
04384094-4b0d-49c0-82b2-af03c89e2bee,34,Fostertown,Normal,"{Facebook,Email}",{Hair Serum}
043c97c1-d809-444b-bf01-7705b12f2cfb,53,Port Heather,Combination,"{Google Ads SEO,Facebook}","{Lip Balm,Credit Card,Hair Serum}"
043ee09d-89bd-48d7-bd3e-4c6d5b9e7f55,31,Jessicaville,Dry,"{Email,Google Ads SEO}","{Analytics Dashboard,Project Management Tool}"
0441e056-0d27-43d0-8c55-c96a1c86918e,35,East Lisa,Dry,"{Email,Facebook}",{Credit Card}
044405f2-0e7d-4b8d-a718-b74f368abccb,48,Paulfort,Sensitive,"{Email,Google Ads SEO}",{Project Management Tool}
0449e4e1-1bbf-40b7-92d2-4c00005459b1,26,Nicoletown,Normal,"{Google Ads SEO,Facebook,Email}","{Wireless Earbuds,Smartphone,Insurance Plan}"
044d1a15-4512-455c-b1f2-f46dbb60175a,19,Lake Amandashire,Dry,{Google Ads SEO},{Smartwatch}
0454a82e-e10c-4422-9dc1-6ad1750db4c3,24,Samanthahaven,Combination,"{Facebook,Google Ads SEO}",{Investment Platform}
045b21a4-99c5-489a-b5ca-0778b98c7d6c,55,Kathleenberg,Normal,{Email},{Customer Support Platform}
045ebbef-b124-4f73-942f-e7b6bc2c12c1,37,Ashleyton,Dry,"{Google Ads SEO,Email,Facebook}","{Savings Account,Investment Platform,Insurance Plan}"
04661018-9f22-4fa4-9de8-aaaa4522fd3a,19,North Roger,Normal,"{Google Ads SEO,Email,Facebook}",{Moisturizer}
0477963c-f655-4fea-b730-e809799247f6,22,East Timothy,Dry,"{Facebook,Email}","{Face Cleanser,Bluetooth Speaker}"
04844904-4533-4a17-bfff-70b11de710c1,40,Lake Sean,Dry,{Google Ads SEO},"{Customer Support Platform,Lip Balm}"
048d6c04-3d4e-4581-a8f2-1c74a9bf7269,25,Susanshire,Sensitive,"{Email,Facebook}","{Loan Product,Lip Balm,Smartphone}"
048de060-e206-479a-83cc-5354ced82b08,19,Port Kyletown,Sensitive,"{Facebook,Email}","{Face Cleanser,CRM Software}"
0495fca6-a7f2-4f5d-8b09-9263398e0ed5,19,Littleview,Normal,{Google Ads SEO},"{Face Cleanser,Sunscreen,Moisturizer}"
0496ee25-a873-4db7-9806-8eddc5bcb94b,59,West Justinfort,Sensitive,{Facebook},"{Analytics Dashboard,Savings Account,Smartwatch}"
049ce318-bdca-45d0-b3da-74cccc86b412,40,New Sabrinachester,Dry,"{Google Ads SEO,Facebook}","{Credit Card,Tablet,Lip Balm}"
04a449f8-9580-45c8-b412-39661d7a7f73,41,Blankenshipland,Combination,{Facebook},"{Tablet,Sunscreen,Smartphone}"
04aa9e97-44bb-42af-99ee-2cb54e9e5856,20,Lake Jamesland,Normal,{Email},"{Project Management Tool,CRM Software,Savings Account}"
04ac7076-1e98-4b56-b0a7-079d17bd5290,36,West Brady,Combination,"{Google Ads SEO,Facebook,Email}","{Insurance Plan,Sunscreen,Marketing Automation}"
04afe306-f310-4caf-bca4-91c70aff6c73,41,South Angela,Sensitive,{Facebook},"{Credit Card,Loan Product}"
04b7f4bb-9d84-4d88-a99e-2db580955f60,57,East Justinburgh,Combination,{Facebook},"{Face Cleanser,Insurance Plan,Analytics Dashboard}"
04bdd391-bb8b-499d-8ec0-24c72ee2f7b9,28,Port Jason,Dry,"{Google Ads SEO,Facebook,Email}","{Project Management Tool,Credit Card}"
04be2f7b-3972-4c5e-ad69-cdf555f8414e,45,West Alecmouth,Combination,"{Facebook,Email}","{Investment Platform,Smartwatch}"
04c5ed31-5f83-4a2d-a75f-66da62b89ad0,34,Port Ernestmouth,Normal,"{Google Ads SEO,Facebook}","{Analytics Dashboard,Credit Card,Lip Balm}"
04cd0be5-1d64-4bf1-b729-77cf6963f318,23,North Troyton,Combination,"{Google Ads SEO,Facebook,Email}","{Bluetooth Speaker,Marketing Automation}"
04cfdda3-dfc6-41ec-8cb6-dbb338c0d7db,42,Caseyberg,Sensitive,"{Google Ads SEO,Email}","{Analytics Dashboard,Smartphone,Face Cleanser}"
04e0b691-68fe-4771-873c-b828d594c489,52,Port Joy,Normal,"{Google Ads SEO,Email}","{Tablet,Lip Balm,CRM Software}"
04ee309a-c0b4-4d9a-97e5-7dbae9f00517,32,Nguyenchester,Dry,{Email},"{CRM Software,Insurance Plan,Analytics Dashboard}"
04f2c9f5-7c6f-4a58-aaf4-76cd0650e3bc,19,Murphyberg,Oily,{Google Ads SEO},"{Smartphone,Savings Account,Loan Product}"
04f3a29e-4411-4d2d-bd3c-d533f75bb514,26,Kingmouth,Dry,"{Google Ads SEO,Email}","{Investment Platform,Tablet,Sunscreen}"
04f59933-e91c-465d-97f6-3d9cb3eecade,55,South Rebeccaberg,Dry,"{Google Ads SEO,Email,Facebook}",{Credit Card}
04f6fdd6-0665-4ee9-b7b9-bbc065e6e590,60,Port Brenda,Dry,"{Google Ads SEO,Facebook}",{Loan Product}
04f8405d-69ea-4d9a-a4d6-90d5614c7771,43,Michaelport,Oily,"{Email,Google Ads SEO,Facebook}","{Savings Account,Smartphone,Sunscreen}"
